ABOT,0.37%,2.45%,1.56%,61.53%,(38.47),Compliant
ACPL,28.57%,0.19%,0.06%,87.98%,(149.42),Compliant
ADMM,43.19%,0.00%,0.01%,76.95%,(119.52),Non-Compliant
AGHA,36.97%,0.00%,0.50%,78.92%,(26.04),Compliant
AGIL,12.17%,0.84%,0.19%,78.98%,(39.78),Compliant
AGL,65.62%,0.00%,0.43%,93.04%,(162.62),Non-Compliant
AGP,4.79%,0.00%,0.29%,87.25%,(11.81),Compliant
AGSML,21.14%,0.00%,100.00%,96.92%,(44.86),Non-Compliant1
AGTL,8.06%,0.00%,0.36%,53.70%,(59.74),Compliant
AIRLINK,36.99%,10.88%,0.17%,47.01%,(1.14),Compliant
ALTN,0.92%,1.13%,14.75%,45.33%,34.45,Non-Compliant
ANL,18.99%,0.65%,0.63%,62.58%,(11.01),Compliant
APL,9.63%,23.29%,0.86%,53.14%,(33.75),Compliant
ARPL,1.35%,0.00%,0.00%,48.21%,(64.61),Compliant1
ASC,1.51%,0.00%,0.00%,54.50%,1.70,Compliant
ASL,41.10%,0.00%,0.08%,73.07%,(23.44),Non-Compliant
ASTL,41.93%,3.35%,0.00%,77.25%,(65.61),Non-Compliant
ATBA,35.58%,1.44%,0.09%,80.31%,(163.18),Compliant
ATLH,0.51%,12.65%,2.15%,43.76%,(18.54),Compliant1
ATRL,0.11%,6.57%,1.33%,57.58%,(101.69),Compliant
AVN,4.73%,0.36%,0.07%,8.19%,30.38,Compliant
BCL,27.65%,0.00%,0.02%,71.57%,(50.36),Compliant
BECO,0.02%,0.02%,0.00%,76.37%,(0.90),Compliant3
BERG,13.24%,2.47%,0.08%,52.90%,(33.41),Compliant
BGL,31.83%,0.00%,0.18%,98.34%,(6.56),Compliant
BIFO,14.70%,6.38%,0.82%,72.94%,(0.87),Compliant
BIPL,N/A,N/A,N/A,44.54%,(171.70),Compliant
BNL,27.16%,0.00%,0.00%,81.77%,(18.87),Compliant
BRR,N/A,N/A,N/A,97.05%,(6.95),Compliant
BUXL,6.23%,0.00%,0.00%,50.24%,(57.20),Compliant
BWCL,35.63%,18.98%,2.60%,77.07%,(116.92),Compliant
BWHL,1.18%,28.87%,3.85%,65.29%,35.12,Compliant
CEPB,32.26%,0.00%,0.02%,75.86%,(64.60),Compliant
CHCC,13.91%,0.01%,0.04%,92.17%,(88.86),Compliant
CLOV,0.00%,7.10%,0.14%,29.27%,2.75,Compliant
CLVL,0.43%,0.00%,2.93%,65.71%,2.36,Compliant
CNERGY,41.70%,0.00%,0.75%,92.18%,(19.79),Non-Compliant
COLG,4.29%,21.68%,1.25%,61.84%,13.57,Compliant
CPHL,6.14%,22.31%,0.68%,54.68%,(1.28),Compliant
CPPL,42.20%,0.22%,0.01%,74.85%,(171.57),Non-Compliant
CRTM,37.85%,0.12%,0.05%,80.68%,(71.11),Compliant
